,Location,Price,Sqft,Bath,Bed,Street,zipcode
340,"4904 Summerset Trl, Austin, TX 78749",650000.0,1845,2,4,4904 Summerset Trl, 78749
341,"11012 Short Springs Dr, Austin, TX 78754",359000.0,1378,2,3,11012 Short Springs Dr, 78754
343,"4505 Nixon Ln, Austin, TX 78725",500000.0,1608,2,3,4505 Nixon Ln, 78725
344,"5510 Chadwyck Dr, Austin, TX 78723",690000.0,2183,3,4,5510 Chadwyck Dr, 78723
345,"6902 Lost Valley, Austin, TX 78745",725000.0,2290,3,5,6902 Lost Valley, 78745
346,"7201 Beckett Rd, Austin, TX 78749",579850.0,1633,2,3,7201 Beckett Rd, 78749
347,"4709 Frontier Trl, Austin, TX 78745",670000.0,1933,2,4,4709 Frontier Trl, 78745
348,"5210 Langwood Dr, Austin, TX 78754",295000.0,1364,2,2,5210 Langwood Dr, 78754
349,"8508 Bargamin Dr, Austin, TX 78736",585000.0,2231,3,4,8508 Bargamin Dr, 78736
350,"12233 Forsythe Dr, Austin, TX 78759",449000.0,1452,2,3,12233 Forsythe Dr, 78759
351,"13301 Mansfield Dr, Austin, TX 78732",1260000.0,3706,4,5,13301 Mansfield Dr, 78732
352,"2409 Montague St, Austin, TX 78741",570000.0,1850,3,3,2409 Montague St, 78741
353,"2000 Tillotson Ave, Austin, TX 78702",765000.0,916,1,3,2000 Tillotson Ave, 78702
354,"5702 Link Ave, Austin, TX 78752",555000.0,1625,2,3,5702 Link Ave, 78752
355,"1901 Exposition Blvd, Austin, TX 78703",5250000.0,5051,6,5,1901 Exposition Blvd, 78703
356,"5657 Pinon Vista Dr, Austin, TX 78724",349000.0,1269,2,3,5657 Pinon Vista Dr, 78724
357,"9116 Robinson Family Rd, Austin, TX 78738",3850000.0,4895,5,4,9116 Robinson Family Rd, 78738
358,"1604 J J Seabrook Dr, Austin, TX 78721",599999.0,1105,2,2,1604 J J Seabrook Dr, 78721
359,"2102 E 21st St #1, Austin, TX 78722",1499000.0,2540,5,4,2102 E 21st St #1, 78722
360,"10113 Copper Ridge Cv, Austin, TX 78747",459000.0,2209,3,4,10113 Copper Ridge Cv, 78747
361,"4511 Island Cv, Austin, TX 78731",7475000.0,7755,6,5,4511 Island Cv, 78731
362,"8310 Arboles Cir, Austin, TX 78737",1375000.0,3260,3,3,8310 Arboles Cir, 78737
363,"5808 Brocade Dr, Austin, TX 78724",398886.0,1845,2,4,5808 Brocade Dr, 78724
364,"5419 Darlington Ln, Austin, TX 78723",485000.0,1363,2,4,5419 Darlington Ln, 78723
365,"815 Wild Rose Dr, Austin, TX 78737",650000.0,2603,3,3,815 Wild Rose Dr, 78737
366,"1400 Anhalt Dr UNIT 45A, Pflugerville, TX 78660",335000.0,1496,3,2,1400 Anhalt Dr UNIT 45A, 78660
367,"904 Christopher St, Austin, TX 78704",2350000.0,2987,4,4,904 Christopher St, 78704
369,"12904 Titanium St, Manor, TX 78653",355000.0,1663,2,3,12904 Titanium St, 78653
370,"2517 Rockridge Dr, Austin, TX 78744",389999.0,1296,2,3,2517 Rockridge Dr, 78744
371,"4611 Craigwood Dr, Austin, TX 78725",370000.0,1129,2,3,4611 Craigwood Dr, 78725
373,"1816 Carlson Dr #42C, Austin, TX 78741",485000.0,1437,3,3,1816 Carlson Dr #42C, 78741
374,"7317 Brecourt Manor Way, Austin, TX 78739",799900.0,2593,3,4,7317 Brecourt Manor Way, 78739
375,"7224 Cardinal Bloom Loop, Austin, TX 78744",495000.0,1572,3,3,7224 Cardinal Bloom Loop, 78744
376,"9216 Meadow Vale, Austin, TX 78758",524900.0,1339,2,3,9216 Meadow Vale, 78758
377,"2106 Brunswick Dr, Austin, TX 78723",464900.0,1340,2,3,2106 Brunswick Dr, 78723
378,"13303 Mansfield Dr, Austin, TX 78732",2395000.0,5371,5,5,13303 Mansfield Dr, 78732
379,"12900 Covington Trl, Austin, TX 78727",486000.0,1375,2,3,12900 Covington Trl, 78727
380,"8616 Cobblestone, Austin, TX 78735",840000.0,2240,2,3,8616 Cobblestone, 78735
381,"1445 Sir Thopas Trl, Austin, TX 78748",385900.0,1271,2,3,1445 Sir Thopas Trl, 78748
382,"4904 Eastdale Dr, Austin, TX 78723",545000.0,1628,2,3,4904 Eastdale Dr, 78723
383,"1702 Barton Hills Dr, Austin, TX 78704",1100000.0,1421,2,3,1702 Barton Hills Dr, 78704
384,"3102 Tom Green St, Austin, TX 78705",969500.0,2126,3,5,3102 Tom Green St, 78705
385,"3112 Corbin Ln, Austin, TX 78704",745000.0,1714,3,3,3112 Corbin Ln, 78704
386,"8000 Forbsdale Dr, Austin, TX 78747",385000.0,2049,3,4,8000 Forbsdale Dr, 78747
387,"15101 Dexler Dr, Austin, TX 78734",699900.0,1250,2,1,15101 Dexler Dr, 78734
