Location,Price,Sq. ft.,Ba,Br,Link
"3708 Denehoe Cv, Austin, TX 78725","$285,000 ","1,467 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/3708-Denehoe-Cv-Austin-TX-78725/29462525_zpid/
"1411 Blakeney Ln, Austin, TX 78753","$350,000 ","1,158 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1411-Blakeney-Ln-Austin-TX-78753/29434617_zpid/
"11713 Saddle Rock Dr, Austin, TX 78725","$449,900 ","1,878 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11713-Saddle-Rock-Dr-Austin-TX-78725/248957892_zpid/
"5510 Cordell Ln, Austin, TX 78723","$475,000 ","1,183 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5510-Cordell-Ln-Austin-TX-78723/29398666_zpid/
"11603 Elk Park Trl, Austin, TX 78759","$399,500 ","1,732 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/11603-Elk-Park-Trl-Austin-TX-78759/29439184_zpid/
"12912 Water Wheel Cv, Austin, TX 78729","$535,000 ","1,646 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/12912-Water-Wheel-Cv-Austin-TX-78729/29549556_zpid/
"5941 Salcon Cliff Dr, Austin, TX 78749","$650,000 ","2,166 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/5941-Salcon-Cliff-Dr-Austin-TX-78749/29496697_zpid/
"9001 China Rose Dr, Austin, TX 78724","$399,950 ","2,088 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/9001-China-Rose-Dr-Austin-TX-78724/83830263_zpid/
"1207 Radam Cir, Austin, TX 78745","$699,000 ","1,404 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1207-Radam-Cir-Austin-TX-78745/29485111_zpid/
"Clebourne Plan, Park Collection at Turner's Crossing","$514,990+","2,168 sqft",3 ba,4 bds,https://www.zillow.com/community/park-collection-at-turner-s-crossing/2062183927_zpid/
"5311 Avenue G, Austin, TX 78751","$650,000 ","2,918 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/5311-Avenue-G-Austin-TX-78751/2058487496_zpid/
"(undisclosed Address), Austin, TX 78744","$449,900 ","2,089 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/Austin-TX-78744/145658401_zpid/
