Location,Price,Sq. ft.,Ba,Br,Link
"14406 Varrelman St, Austin, TX 78725","$285,000 ","1,278 sqft",1 ba,3 bds,https://www.zillow.com/homedetails/14406-Varrelman-St-Austin-TX-78725/60135202_zpid/
"2800 Waymaker Way UNIT 44, Austin, TX 78746","$1,200,000 ","3,231 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2800-Waymaker-Way-UNIT-44-Austin-TX-78746/58297997_zpid/
"9312 Eddystone St, Austin, TX 78729","$500,000 ","1,659 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/9312-Eddystone-St-Austin-TX-78729/29557496_zpid/
"14020 Skyline Dr, Austin, TX 78732","$795,000 ","2,318 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/14020-Skyline-Dr-Austin-TX-78732/29366880_zpid/
"6616 Argentia Rd, Austin, TX 78757","$1,500,000 ","2,957 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/6616-Argentia-Rd-Austin-TX-78757/68520819_zpid/
"4212 Mocha Trl, Austin, TX 78728","$425,000 ","1,709 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4212-Mocha-Trl-Austin-TX-78728/185211948_zpid/
"4903 Creekline Dr, Austin, TX 78745","$649,000 ","1,916 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/4903-Creekline-Dr-Austin-TX-78745/29484892_zpid/
"5411 Prock Ln, Austin, TX 78721","$850,000 ","1,992 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/5411-Prock-Ln-Austin-TX-78721/121423724_zpid/
"10005 Oak Hollow Dr, Austin, TX 78758","$585,000 ","1,890 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/10005-Oak-Hollow-Dr-Austin-TX-78758/29431145_zpid/
"500 Heartwood Dr, Austin, TX 78745","$550,000 ","1,352 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/500-Heartwood-Dr-Austin-TX-78745/29484858_zpid/
"9421 Edmundsbury Dr, Austin, TX 78747","$370,000 ","1,788 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/9421-Edmundsbury-Dr-Austin-TX-78747/80105400_zpid/
"3521 Savage Springs Dr, Austin, TX 78754","$370,000 ","2,569 sqft",3 ba,5 bds,https://www.zillow.com/homedetails/3521-Savage-Springs-Dr-Austin-TX-78754/70339144_zpid/
"7203 Bennett Ave, Austin, TX 78752","$378,000 ","1,642 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/7203-Bennett-Ave-Austin-TX-78752/29413567_zpid/
"16216 Old Baldy Dr, Austin, TX 78717","$875,000 ","3,357 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/16216-Old-Baldy-Dr-Austin-TX-78717/70992752_zpid/
"2800 Waymaker Way UNIT 56, Austin, TX 78746","$997,000 ","2,882 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2800-Waymaker-Way-UNIT-56-Austin-TX-78746/53466814_zpid/
"5502 Porsche Ln, Austin, TX 78749","$540,000 ","1,352 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5502-Porsche-Ln-Austin-TX-78749/29479016_zpid/
"1314 Piedmont Ave, Austin, TX 78757","$1,495,000 ","2,491 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/1314-Piedmont-Ave-Austin-TX-78757/29418212_zpid/
"4500 Hibiscus Valley Dr, Austin, TX 78739","$699,950 ","2,226 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/4500-Hibiscus-Valley-Dr-Austin-TX-78739/58316440_zpid/
"7505 Wynne Ln #3, Austin, TX 78745","$699,000 ","1,600 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/7505-Wynne-Ln-3-Austin-TX-78745/2058238358_zpid/
"7304 Saffron St, Austin, TX 78749","$649,900 ","1,507 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/7304-Saffron-St-Austin-TX-78749/29486145_zpid/
"2203 Red Fox Rd, Austin, TX 78734","$369,000 ","1,040 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2203-Red-Fox-Rd-Austin-TX-78734/29360124_zpid/
"16102 Agua Vis, Austin, TX 78734","$550,000 ","1,200 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/16102-Agua-Vis-Austin-TX-78734/29360341_zpid/
"1810 Pompton Dr, Austin, TX 78757","$649,000 ","1,596 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/1810-Pompton-Dr-Austin-TX-78757/29422398_zpid/
"16924 Whitebrush Loop, Austin, TX 78717","$359,000 ","1,429 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/16924-Whitebrush-Loop-Austin-TX-78717/29552425_zpid/
"15203-5603 Purple Sage Dr, Austin, TX 78724","$499,900 ","1,820 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/15203-5603-Purple-Sage-Dr-Austin-TX-78724/2058247224_zpid/
"10511 Brownie Dr, Austin, TX 78753","$475,000 ","1,665 sqft",#NAME?,#NAME?,https://www.zillow.com/homedetails/10511-Brownie-Dr-Austin-TX-78753/29429064_zpid/
"7705 Banpass Ln, Austin, TX 78736","$445,000 ","1,613 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/7705-Banpass-Ln-Austin-TX-78736/29479561_zpid/
"9824 Ivalenes Hope Dr, Austin, TX 78717","$799,000 ","2,554 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/9824-Ivalenes-Hope-Dr-Austin-TX-78717/120902189_zpid/
"7505 Wynne Ln #4, Austin, TX 78745","$499,000 ",940 sqft,3 ba,2 bds,https://www.zillow.com/homedetails/7505-Wynne-Ln-4-Austin-TX-78745/2058237106_zpid/
"800 Cedar Gln, Austin, TX 78745","$549,500 ","1,952 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/800-Cedar-Gln-Austin-TX-78745/29485818_zpid/
"416 Kissing Oak Dr, Austin, TX 78748","$550,000 ","3,079 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/416-Kissing-Oak-Dr-Austin-TX-78748/80103337_zpid/
"405 Primrose St, Austin, TX 78753","$326,000 ","1,482 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/405-Primrose-St-Austin-TX-78753/29420806_zpid/
"5805 Cary Dr, Austin, TX 78757","$1,525,000 ","2,314 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/5805-Cary-Dr-Austin-TX-78757/29415907_zpid/
"6222 Thurgood Ave, Austin, TX 78721","$520,000 ","1,564 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/6222-Thurgood-Ave-Austin-TX-78721/29385728_zpid/
"5705 Highland Hills Dr, Austin, TX 78731","$1,100,000 ","1,612 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5705-Highland-Hills-Dr-Austin-TX-78731/29345618_zpid/
"1704 Hartford Rd, Austin, TX 78703","$1,195,000 ","1,491 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1704-Hartford-Rd-Austin-TX-78703/29332090_zpid/
"5620 Sedona Dr, Austin, TX 78759","$1,150,000 ","3,069 sqft",4 ba,3 bds,https://www.zillow.com/homedetails/5620-Sedona-Dr-Austin-TX-78759/29363957_zpid/
"10107 Erwin Trl #36, Austin, TX 78717","$729,000 ","2,769 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/10107-Erwin-Trl-36-Austin-TX-78717/2058273071_zpid/
"11309 Blackmoor Dr, Austin, TX 78759","$739,000 ","2,116 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11309-Blackmoor-Dr-Austin-TX-78759/29371964_zpid/
"8313 Summer Place Dr, Austin, TX 78759","$525,000 ","1,340 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/8313-Summer-Place-Dr-Austin-TX-78759/29430742_zpid/
"7500 Uray Dr, Austin, TX 78724","$429,900 ","1,303 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/7500-Uray-Dr-Austin-TX-78724/29410269_zpid/
"5808 Chesterfield Ave, Austin, TX 78752","$550,000 ","1,028 sqft",1 ba,3 bds,https://www.zillow.com/homedetails/5808-Chesterfield-Ave-Austin-TX-78752/29411918_zpid/
"3105 Robinson Ave, Austin, TX 78722","$985,000 ","2,450 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/3105-Robinson-Ave-Austin-TX-78722/29394423_zpid/
"11540 Arbroath Ln, Austin, TX 78754","$490,000 ","2,710 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11540-Arbroath-Ln-Austin-TX-78754/119626661_zpid/
"11501 Ruffed Grouse Dr, Austin, TX 78758","$525,000 ","1,348 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/11501-Ruffed-Grouse-Dr-Austin-TX-78758/58303757_zpid/
"2621 Gwendolyn Ln, Austin, TX 78748","$575,000 ","2,046 sqft",#NAME?,#NAME?,https://www.zillow.com/homedetails/2621-Gwendolyn-Ln-Austin-TX-78748/29511488_zpid/
"2001 Faro Dr APT 28, Austin, TX 78741","$499,500 ","1,604 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/2001-Faro-Dr-APT-28-Austin-TX-78741/119621588_zpid/
"2206 La Casa Dr, Austin, TX 78704","$899,000 ",885 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/2206-La-Casa-Dr-Austin-TX-78704/29473021_zpid/
"10410 Quail Ridge Dr, Austin, TX 78758","$525,000 ","1,330 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/10410-Quail-Ridge-Dr-Austin-TX-78758/29432897_zpid/
"9804 Big View Dr, Austin, TX 78730","$1,375,000 ","3,610 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/9804-Big-View-Dr-Austin-TX-78730/29354126_zpid/
"5303 Mulberry Grove Ln, Austin, TX 78723","$619,900 ","1,938 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/5303-Mulberry-Grove-Ln-Austin-TX-78723/2058238699_zpid/
"909 Lipan Trl, Austin, TX 78733","$849,000 ","1,896 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/909-Lipan-Trl-Austin-TX-78733/29343690_zpid/
"6905 Crestone Rd, Austin, TX 78744","$360,000 ","1,220 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6905-Crestone-Rd-Austin-TX-78744/119623541_zpid/
"1005 Alegria Rd, Austin, TX 78757","$725,000 ","1,621 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/1005-Alegria-Rd-Austin-TX-78757/29413290_zpid/
"1110 Byers Ln, Austin, TX 78753","$360,000 ","1,346 sqft",1 ba,3 bds,https://www.zillow.com/homedetails/1110-Byers-Ln-Austin-TX-78753/29434419_zpid/
"558 Call Dr, Austin, TX 78737","$1,695,990 ","4,301 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/558-Call-Dr-Austin-TX-78737/331639336_zpid/
"14516 Ballycastle Trl, Austin, TX 78717","$445,000 ","1,583 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/14516-Ballycastle-Trl-Austin-TX-78717/60335697_zpid/
"12308 Palisades Pkwy, Austin, TX 78732","$950,000 ","3,426 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/12308-Palisades-Pkwy-Austin-TX-78732/83124847_zpid/
"6808 Cornish Hen Ln, Austin, TX 78747","$349,000 ","1,665 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/6808-Cornish-Hen-Ln-Austin-TX-78747/70342442_zpid/
"1901 Casa Grande Dr, Austin, TX 78733","$639,000 ","1,470 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1901-Casa-Grande-Dr-Austin-TX-78733/29346814_zpid/
"2301 Rundell Pl, Austin, TX 78704","$2,250,000 ","2,302 sqft",4 ba,3 bds,https://www.zillow.com/homedetails/2301-Rundell-Pl-Austin-TX-78704/29324466_zpid/
"7862 Lakewood Dr, Austin, TX 78750","$1,245,000 ","2,566 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/7862-Lakewood-Dr-Austin-TX-78750/29360965_zpid/
"1100 Clayton Ln, Austin, TX 78723","$475,000 ","1,116 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1100-Clayton-Ln-Austin-TX-78723/29409757_zpid/
"4307 Island Ave, Austin, TX 78731","$6,995,000 ","5,262 sqft",7 ba,5 bds,https://www.zillow.com/homedetails/4307-Island-Ave-Austin-TX-78731/29343205_zpid/
"6415 Yaupon Dr, Austin, TX 78759","$850,000 ","2,847 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/6415-Yaupon-Dr-Austin-TX-78759/29363996_zpid/
"2715 Mountain Laurel Ln, Austin, TX 78703","$1,600,000 ","2,282 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2715-Mountain-Laurel-Ln-Austin-TX-78703/29337839_zpid/
"4900 Amarra Dr, Austin, TX 78735","$5,999,000 ","6,013 sqft",6 ba,4 bds,https://www.zillow.com/homedetails/4900-Amarra-Dr-Austin-TX-78735/306645945_zpid/
"7800 Parliament Pl, Austin, TX 78759","$525,000 ","1,544 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/7800-Parliament-Pl-Austin-TX-78759/29371640_zpid/
"2010 Cervin Blvd, Austin, TX 78728","$430,000 ","1,907 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2010-Cervin-Blvd-Austin-TX-78728/29449672_zpid/
"9001 Deer Shadow Pass, Austin, TX 78733","$2,453,750 ","3,759 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/9001-Deer-Shadow-Pass-Austin-TX-78733/29337602_zpid/
"11529 Autumn Ash Dr, Manchaca, TX 78652","$420,000 ","1,714 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11529-Autumn-Ash-Dr-Manchaca-TX-78652/83825464_zpid/
"5505 Gloucester Ln, Austin, TX 78723","$775,000 ","1,625 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5505-Gloucester-Ln-Austin-TX-78723/29402566_zpid/
"(undisclosed Address), Austin, TX 78744","$249,900 ",898 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/Austin-TX-78744/29468558_zpid/
"901 Wayside Dr, Austin, TX 78703","$3,995,000 ","3,642 sqft",4 ba,6 bds,https://www.zillow.com/homedetails/901-Wayside-Dr-Austin-TX-78703/2084746499_zpid/
"5302 Middale Ln, Austin, TX 78723","$525,000 ","1,051 sqft",1 ba,3 bds,https://www.zillow.com/homedetails/5302-Middale-Ln-Austin-TX-78723/29399930_zpid/
"2005 Uphill Ln #B, Austin, TX 78741","$615,000 ","1,774 sqft",4 ba,3 bds,https://www.zillow.com/homedetails/2005-Uphill-Ln-B-Austin-TX-78741/2061461457_zpid/
"404 Mirafield Ln, Austin, TX 78737","$1,249,000 ","3,795 sqft",6 ba,5 bds,https://www.zillow.com/homedetails/404-Mirafield-Ln-Austin-TX-78737/114157253_zpid/
"2325 Bitter Creek Dr, Austin, TX 78744","$345,000 ","1,000 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2325-Bitter-Creek-Dr-Austin-TX-78744/29503027_zpid/
"5800 Mojave Dr, Austin, TX 78745","$599,000 ","1,589 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5800-Mojave-Dr-Austin-TX-78745/58314433_zpid/
"609 Horseback Holw, Austin, TX 78732","$1,300,000 ","4,410 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/609-Horseback-Holw-Austin-TX-78732/83827341_zpid/
"109 Autumn Wood Ln, Austin, TX 78737","$549,000 ","1,885 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/109-Autumn-Wood-Ln-Austin-TX-78737/331639318_zpid/
"3407 Northwood Cir, Austin, TX 78703","$8,270,000 ","4,659 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/3407-Northwood-Cir-Austin-TX-78703/29338731_zpid/
"211 Costa Bella Dr, Austin, TX 78734","$7,950,000 ","9,261 sqft",8 ba,6 bds,https://www.zillow.com/homedetails/211-Costa-Bella-Dr-Austin-TX-78734/29362685_zpid/
"14222 Handel Dr UNIT 7A, Pflugerville, TX 78660","$319,000 ","1,443 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/14222-Handel-Dr-UNIT-7A-Pflugerville-TX-78660/2058270226_zpid/
"1634 Cattle Trl, Austin, TX 78748","$579,000 ","1,345 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1634-Cattle-Trl-Austin-TX-78748/29509500_zpid/
"601 Sandringham Cir, Austin, TX 78704","$1,800,000 ","1,745 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/601-Sandringham-Cir-Austin-TX-78704/29460330_zpid/
"506 Treys Way, Austin, TX 78745","$416,000 ",902 sqft,2 ba,3 bds,https://www.zillow.com/homedetails/506-Treys-Way-Austin-TX-78745/29492516_zpid/
"8204 Endeavor Cir, Austin, TX 78726","$1,150,000 ","3,782 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/8204-Endeavor-Cir-Austin-TX-78726/64769595_zpid/
"4706 Red Stone Ct, Austin, TX 78735","$825,000 ","2,180 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4706-Red-Stone-Ct-Austin-TX-78735/29474102_zpid/
"613 Twelve Oaks Ln, Austin, TX 78704","$849,000 ","1,971 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/613-Twelve-Oaks-Ln-Austin-TX-78704/64759870_zpid/
"2502 Berwyn Cir, Austin, TX 78745","$476,000 ","1,486 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2502-Berwyn-Cir-Austin-TX-78745/29483098_zpid/
"2012 Oxford Ave, Austin, TX 78704","$2,450,000 ","2,524 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2012-Oxford-Ave-Austin-TX-78704/29322235_zpid/
"4007 Independent Way, Austin, TX 78731","$2,933,760 ","4,122 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/4007-Independent-Way-Austin-TX-78731/2058254256_zpid/
"15703 De Peer Ave, Austin, TX 78717","$450,000 ","1,833 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/15703-De-Peer-Ave-Austin-TX-78717/29575635_zpid/
"2006 Covered Wagon Pass, Austin, TX 78744","$424,900 ","1,200 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2006-Covered-Wagon-Pass-Austin-TX-78744/29500403_zpid/
"1408 S Meadows Dr, Austin, TX 78758","$599,900 ","3,022 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/1408-S-Meadows-Dr-Austin-TX-78758/29432252_zpid/
"5804 J F K Dr, Austin, TX 78724","$300,000 ","1,225 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/5804-J-F-K-Dr-Austin-TX-78724/29384187_zpid/
"6910 Rufus Dr, Austin, TX 78752","$649,000 ","1,654 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/6910-Rufus-Dr-Austin-TX-78752/29415288_zpid/
"2003 Sharon Ln, Austin, TX 78703","$8,000,000 ","5,520 sqft",7 ba,6 bds,https://www.zillow.com/homedetails/2003-Sharon-Ln-Austin-TX-78703/29333188_zpid/
"6717 Oasis Pass, Austin, TX 78732","$6,500,000 ","6,843 sqft",7 ba,4 bds,https://www.zillow.com/homedetails/6717-Oasis-Pass-Austin-TX-78732/29365433_zpid/
"3901 Licorice Ln, Austin, TX 78728","$475,000 ","1,837 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/3901-Licorice-Ln-Austin-TX-78728/29453960_zpid/
"1711 Mohle Dr, Austin, TX 78703","$2,499,000 ","3,153 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/1711-Mohle-Dr-Austin-TX-78703/29337205_zpid/
"9301 Elm Grove Cir, Austin, TX 78736","$789,000 ","2,110 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/9301-Elm-Grove-Cir-Austin-TX-78736/29479651_zpid/
"6105 Bullard Dr APT A, Austin, TX 78757","$495,000 ","1,680 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/6105-Bullard-Dr-APT-A-Austin-TX-78757/2101498304_zpid/
"7209 Magenta Ln, Austin, TX 78739","$1,450,000 ","4,075 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/7209-Magenta-Ln-Austin-TX-78739/70335102_zpid/
"8608 Tallwood Dr, Austin, TX 78759","$1,200,000 ","1,956 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/8608-Tallwood-Dr-Austin-TX-78759/29432743_zpid/
"15205 Wallaby Way, Austin, TX 78728","$470,504 ","1,494 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/15205-Wallaby-Way-Austin-TX-78728/305426239_zpid/
"10613 La Plata Cv, Austin, TX 78737","$1,199,988 ","2,971 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/10613-La-Plata-Cv-Austin-TX-78737/29496992_zpid/
"8106 Colony Loop Dr, Austin, TX 78724","$399,000 ","1,295 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/8106-Colony-Loop-Dr-Austin-TX-78724/58301518_zpid/
"2208 E 18th St #B, Austin, TX 78702","$489,000 ",668 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/2208-E-18th-St-B-Austin-TX-78702/2083326984_zpid/
"5010 Lake View Dr, Austin, TX 78732","$1,995,000 ","1,204 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/5010-Lake-View-Dr-Austin-TX-78732/2058367884_zpid/
"7300 Coit Rd, Austin, TX 78744","$549,500 ","1,925 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/7300-Coit-Rd-Austin-TX-78744/249878961_zpid/
"4004 Avenue B, Austin, TX 78751","$650,000 ",984 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/4004-Avenue-B-Austin-TX-78751/29400451_zpid/
"15207 Kookaburra Path #104, Austin, TX 78728","$555,500 ","2,508 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/15207-Kookaburra-Path-104-Austin-TX-78728/305428518_zpid/
"8113 Raintree Pl, Austin, TX 78759","$699,000 ","1,889 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/8113-Raintree-Pl-Austin-TX-78759/29358328_zpid/
"1101 Arcadia Ave, Austin, TX 78757","$619,000 ","1,305 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1101-Arcadia-Ave-Austin-TX-78757/29413350_zpid/
"5752 N Scout Island Cir, Austin, TX 78731","$545,000 ","1,592 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5752-N-Scout-Island-Cir-Austin-TX-78731/144181638_zpid/
"2201 Zach Scott St, Austin, TX 78723","$739,500 ","1,812 sqft",3 ba,2 bds,https://www.zillow.com/homedetails/2201-Zach-Scott-St-Austin-TX-78723/83125516_zpid/
"3408 Stratford Hills Ln, Austin, TX 78746","$5,200,000 ","6,793 sqft",8 ba,5 bds,https://www.zillow.com/homedetails/3408-Stratford-Hills-Ln-Austin-TX-78746/29332436_zpid/
"Pierce Plan, Sunfield","$306,990+","1,643 sqft",3 ba,3 bds,https://www.zillow.com/community/sunfield/2083958094_zpid/
"502 E Live Oak St, Austin, TX 78704","$2,475,000 ","3,412 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/502-E-Live-Oak-St-Austin-TX-78704/29460102_zpid/
"11522 Shakespearean Way, Austin, TX 78759","$850,000 ","2,155 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11522-Shakespearean-Way-Austin-TX-78759/29371925_zpid/
"2008 Kinney Ave, Austin, TX 78704","$3,295,000 ","3,025 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2008-Kinney-Ave-Austin-TX-78704/29322354_zpid/
"506 W 51st St #B, Austin, TX 78751","$479,000 ",993 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/506-W-51st-St-B-Austin-TX-78751/331624437_zpid/
"1704 Timberwood Dr, Austin, TX 78741","$395,000 ","1,491 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/1704-Timberwood-Dr-Austin-TX-78741/29464263_zpid/
"3707 Counselor Dr, Austin, TX 78749","$450,000 ","1,454 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/3707-Counselor-Dr-Austin-TX-78749/29494181_zpid/
"14208 Vandever St, Austin, TX 78725","$319,000 ","1,347 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/14208-Vandever-St-Austin-TX-78725/29459974_zpid/
"1706 Palo Duro Rd, Austin, TX 78757","$530,000 ","1,176 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1706-Palo-Duro-Rd-Austin-TX-78757/29414270_zpid/
"Harrison Plan, Sweetwater","$479,990+","1,687 sqft",3 ba,3 bds,https://www.zillow.com/community/sweetwater/2058275976_zpid/
"612 Natali St, Austin, TX 78748","$416,000 ","1,214 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/612-Natali-St-Austin-TX-78748/58316902_zpid/
"5607 Overbrook Dr, Austin, TX 78723","$350,000 ","1,032 sqft",1 ba,2 bds,https://www.zillow.com/homedetails/5607-Overbrook-Dr-Austin-TX-78723/29402520_zpid/
"2620 Choctaw Trl, Austin, TX 78745","$575,000 ","2,245 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/2620-Choctaw-Trl-Austin-TX-78745/58313237_zpid/
"2107 Garden St, Austin, TX 78702","$1,950,000 ","2,119 sqft",4 ba,3 bds,https://www.zillow.com/homedetails/2107-Garden-St-Austin-TX-78702/80089438_zpid/
"10727 Cassia Dr, Austin, TX 78759","$1,399,900 ","3,332 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/10727-Cassia-Dr-Austin-TX-78759/29368147_zpid/
"7913 W Rim Dr, Austin, TX 78731","$2,300,000 ","3,974 sqft",6 ba,5 bds,https://www.zillow.com/homedetails/7913-W-Rim-Dr-Austin-TX-78731/58187123_zpid/
"3636 Turkey Creek Dr, Austin, TX 78730","$1,499,999 ","4,863 sqft",5 ba,4 bds,https://www.zillow.com/homedetails/3636-Turkey-Creek-Dr-Austin-TX-78730/29347597_zpid/
"12811 River Bnd, Austin, TX 78732","$5,500,000 ","6,000 sqft",8 ba,6 bds,https://www.zillow.com/homedetails/12811-River-Bnd-Austin-TX-78732/29342594_zpid/
"208 Bella Riva Dr, Austin, TX 78734","$3,550,000 ","10,306 sqft",9 ba,7 bds,https://www.zillow.com/homedetails/208-Bella-Riva-Dr-Austin-TX-78734/29362697_zpid/
"Nelson Plan, Sweetwater","$511,990+","2,101 sqft",3 ba,3 bds,https://www.zillow.com/community/sweetwater/2058275978_zpid/
"7849 Escala Dr, Austin, TX 78735","$9,999,000 ","8,549 sqft",7 ba,5 bds,https://www.zillow.com/homedetails/7849-Escala-Dr-Austin-TX-78735/58297288_zpid/
"5702 Cherry Cv, Austin, TX 78745","$585,000 ","1,509 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/5702-Cherry-Cv-Austin-TX-78745/29488136_zpid/
"7004 Ivory Key Ct, Austin, TX 78745","$549,900 ","1,968 sqft",#NAME?,#NAME?,https://www.zillow.com/homedetails/7004-Ivory-Key-Ct-Austin-TX-78745/29497638_zpid/
"610 Harthan St, Austin, TX 78703","$5,995,000 ","3,681 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/610-Harthan-St-Austin-TX-78703/29327490_zpid/
"6501 Danwood Dr, Austin, TX 78759","$639,000 ","1,748 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6501-Danwood-Dr-Austin-TX-78759/29367607_zpid/
"120 Frederick St, Austin, TX 78704","$599,000 ","1,014 sqft",2 ba,2 bds,https://www.zillow.com/homedetails/120-Frederick-St-Austin-TX-78704/29478362_zpid/
"3709 Indian Point Dr, Austin, TX 78739","$695,000 ","2,458 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/3709-Indian-Point-Dr-Austin-TX-78739/29511763_zpid/
"1702 Cherry Orchard Dr, Austin, TX 78745","$375,000 ",910 sqft,1 ba,3 bds,https://www.zillow.com/homedetails/1702-Cherry-Orchard-Dr-Austin-TX-78745/29494829_zpid/
